method,body,path,single_q,double_q,dashes,Braces,spaces,badwords,class
GET,b'/',b'',0,0,0,0,0,0,1
GET,b'/login.jsp',b'',0,0,0,0,0,0,1
POST,b'/doLogin',b'uid=admin&passw=password&btnSubmit=Login',0,0,0,0,0,1,1
POST,b'/doLogin',b'uid=hello&passw=sir&btnSubmit=Login',0,0,0,0,0,1,1
POST,b'/doLogin',b'uid=hello&passw=test&btnSubmit=Login',0,0,0,0,0,1,1
POST,b'/doLogin',b'uid=hi&passw=hgfh&btnSubmit=Login',0,0,0,0,0,1,1
POST,b'/doLogin',b'uid=jhf&passw=jhg&btnSubmit=Login',0,0,0,0,0,1,1
POST,b'/doLogin',b'uid=jhu&passw=gh&btnSubmit=Login',0,0,0,0,0,1,1
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=business_other.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,1
GET,b'/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=%27+AND+IF%28SUBSTRING%28database%28%29%2C1%2C1%29%3D%27a%27%2Csleep%2810%29%2C1%29%3B--',b'',3,0,1,4,2,1,1
GET,b'/search.jsp?query=%27+UNION+SELECT+null%2C+table_name%2C+null+FROM+information_schema.tables%3B--',b'',1,0,1,0,7,0,1
GET,b'/search.jsp?query=%2Fetc%2Fpasswd',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=%2Fetc%2Fpasswd%22',b'',0,1,0,0,0,0,1
GET,b'/search.jsp?query=%3Ca+href%3D%22javascript%3Aalert%28%27XSS%27%29%22%3EClick%A0me%3C%2Fa%3E',b'',2,2,0,1,1,0,1
GET,b'/search.jsp?query=%3Cbutton+onclick%3D%22alert%28%27XSS%27%29%22%3EClick+me%3C%2Fbutton%3E',b'',2,2,0,1,2,0,1
GET,b'/search.jsp?query=%3Cimg+src%3D%22doesnotexist%22+onerror%3D%22alert%28%27XSS%27%29%22%3E',b'',2,4,0,1,2,0,1
GET,b'/search.jsp?query=%3Cscript%3E',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=%3Cscript%3Ealert%28%27XSS%27%29%3B%3C%2Fscript%3E',b'',2,0,0,1,0,0,1
GET,b'/search.jsp?query=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E',b'',2,0,0,1,0,0,1
GET,b'/search.jsp?query=ajksf',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=helo',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=hjf',b'',0,0,0,0,0,0,1
GET,b'/search.jsp?query=user_data%3D%27+OR+1%3D1+--',b'',1,0,1,0,3,0,1
